Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
ANSC 125,ANSC,Gender Sexuality & Society,5.3052631578947365,3.5526666666666666,B+ (3.3)
ANSC 125GS,ANSC,Gender Sexuality & Society,4.35,3.6,B+ (3.3)
ANSC 126,ANSC,Childhood and Adolescence,5.875,3.675,B+ (3.3)
ANSC 127,ANSC,DiscourseInteractn&SocialLife,4.37,3.25,B (3.0)
ANSC 128,ANSC,Culture and Emotion,6.45,3.035,B (3.0)
ANSC 129,ANSC,Meaning and Healing,7.342222222222222,3.56,B+ (3.3)
ANSC 131,ANSC,Language Law Social Justice,5.055,3.505,B+ (3.3)
ANSC 133,ANSC,Peoples&Cultures/Middle East,5.55,3.46,B+ (3.3)
ANSC 134,ANSC,Global Islam,3.83,3.95,A- (3.7)
ANSC 134,ANSC,Politics/Environmental Change,4.33,3.87,A- (3.7)
ANSC 135,ANSC,Indigenous Peoples/Latin Amer.,5.5600000000000005,3.4979999999999998,B+ (3.3)
ANSC 136,ANSC,Traditional Chinese Society,3.8520000000000003,3.2600000000000002,B (3.0)
ANSC 137,ANSC,Chinese Popular Religion,4.5744444444444445,3.247777777777778,B (3.0)
ANSC 139,ANSC,Freud Psychoanalysis Culture,4.29,2.86,B- (2.7)
ANSC 139,ANSC,Native American Health,3.783333333333333,3.51,B+ (3.3)
ANSC 140,ANSC,Human Rights II: Contemp Issue,5.355,3.435714285714286,B+ (3.3)
ANSC 141,ANSC,Language Politics & Identity,2.65,3.78,A- (3.7)
ANSC 142,ANSC,Anthropology of Latin America,5.721666666666667,3.586,B+ (3.3)
ANSC 143,ANSC,Mental Health/Global Hlth Prty,3.77,3.25,B (3.0)
ANSC 144,ANSC,Immigrant and Refugee Health,4.532857142857143,3.486666666666667,B+ (3.3)
ANSC 145,ANSC,Indigenous People/Nrth America,5.18,3.005,B (3.0)
ANSC 146,ANSC,Global Health Persp/HIV,3.465,3.8033333333333332,A- (3.7)
ANSC 147,ANSC,Global Health and Environment,4.695,3.6375,B+ (3.3)
ANSC 147,ANSC,Global Health/ Environment,2.955,3.865,A- (3.7)
ANSC 148,ANSC,Global Health&Cultrl Diversity,4.54,3.394615384615385,B+ (3.3)
ANSC 148,ANSC,Global Health/Cultrl Diversity,5.295,3.4454545454545453,B+ (3.3)
ANSC 149,ANSC,Conflict Health & Inequality,4.404999999999999,3.835,A- (3.7)
ANSC 150,ANSC,Culture and Mental Health,5.101,3.5100000000000002,B+ (3.3)
ANSC 155,ANSC,Humanitarian Aid,4.5200000000000005,3.755,A- (3.7)
ANSC 156,ANSC,Mad Films,3.18,3.5,B+ (3.3)
ANSC 162,ANSC,Language Identity & Community,4.15625,3.23,B (3.0)
ANSC 164,ANSC,Intro to Medical Anthropology,6.196666666666666,3.278,B (3.0)
ANSC 164,ANSC,The Anthropology of Medicine,4.21,3.543333333333333,B+ (3.3)
ANSC 165,ANSC,Contemporary South Asia,4.957142857142857,3.7066666666666666,A- (3.7)
ANSC 166,ANSC,Film and Culture in Asia,4.3175,3.943636363636364,A- (3.7)
ANSC 167,ANSC,Rituals and Celebrations,6.282,3.01,B (3.0)
ANSC 168,ANSC,The Human Condition,4.484999999999999,3.715,A- (3.7)
ANSC 170,ANSC,Modernity and Human Experience,3.56,3.66,B+ (3.3)
ANSC 174,ANSC,Sex / Money: the Anth/Sex Work,3.57,3.65,B+ (3.3)
ANSC 175,ANSC,Anthropology of Capitalism,3.776666666666667,3.78,A- (3.7)
ANSC 175,ANSC,Beyond Capitalism,3.9266666666666663,3.855,A- (3.7)
ANSC 178,ANSC,Brain Mind Culture & History,4.666666666666667,3.8200000000000003,A- (3.7)
ANSC 180,ANSC,Capitalism & Gender,4.4350000000000005,3.9166666666666665,A- (3.7)
ANSC 180,ANSC,Labor's Relations,5.645,3.41,B+ (3.3)
ANSC 181,ANSC,Animal Affairs,5.86,3.5,B+ (3.3)
ANSC 184,ANSC,Food Culture and Society,4.923333333333333,3.5066666666666664,B+ (3.3)
ANSC 185,ANSC,#BlackLivesMatter,4.21,3.51,B+ (3.3)
ANSC 186,ANSC,Gender and Incarceration,4.276000000000001,3.4775,B+ (3.3)
ANSC 188,ANSC,Cultures of Healing,4.7,3.7725,A- (3.7)
ANSC 189,ANSC,Anthropology of End of World,5.63,3.51,B+ (3.3)
ANSC 190,ANSC,Yoga Practices,3.8875,3.6425,B+ (3.3)
ANSC 190GS,ANSC,Medicine&Healing in South Asia,4.21,3.99,A- (3.7)
ANTH 1,ANTH,Introduction to Culture,4.253571428571428,3.3961904761904758,B+ (3.3)
ANTH 10,ANTH,Climate Justice,3.275,3.6375,B+ (3.3)
